time,value,date
0:00:00,0,2016.4.21
0:15:00,0,2016.4.21
0:30:00,0,2016.4.21
0:45:00,0,2016.4.21
1:00:00,0,2016.4.21
1:15:00,0,2016.4.21
1:30:00,0,2016.4.21
1:45:00,0,2016.4.21
2:00:00,0,2016.4.21
2:15:00,0,2016.4.21
2:30:00,0,2016.4.21
2:45:00,0,2016.4.21
3:00:00,0,2016.4.21
3:15:00,0,2016.4.21
3:30:00,0,2016.4.21
3:45:00,0,2016.4.21
4:00:00,0,2016.4.21
4:15:00,0,2016.4.21
4:30:00,0,2016.4.21
4:45:00,0,2016.4.21
5:00:00,0,2016.4.21
5:15:00,0,2016.4.21
5:30:00,0,2016.4.21
5:45:00,0,2016.4.21
6:00:00,0,2016.4.21
6:15:00,0,2016.4.21
6:30:00,0,2016.4.21
6:45:00,0,2016.4.21
7:00:00,0,2016.4.21
7:15:00,0,2016.4.21
7:30:00,0,2016.4.21
7:45:00,0,2016.4.21
8:00:00,0,2016.4.21
8:15:00,0,2016.4.21
8:30:00,0,2016.4.21
8:45:00,0,2016.4.21
9:00:00,0,2016.4.21
9:15:00,0,2016.4.21
9:30:00,0,2016.4.21
9:45:00,0,2016.4.21
10:00:00,0,2016.4.21
10:15:00,909,2016.4.21
10:30:00,1529,2016.4.21
10:45:00,697,2016.4.21
11:00:00,93,2016.4.21
11:15:00,56,2016.4.21
11:30:00,0,2016.4.21
11:45:00,0,2016.4.21
12:00:00,134,2016.4.21
12:15:00,0,2016.4.21
12:30:00,44,2016.4.21
12:45:00,1393,2016.4.21
13:00:00,172,2016.4.21
13:15:00,0,2016.4.21
13:30:00,1296,2016.4.21
13:45:00,442,2016.4.21
14:00:00,33,2016.4.21
14:15:00,0,2016.4.21
14:30:00,48,2016.4.21
14:45:00,143,2016.4.21
15:00:00,355,2016.4.21
15:15:00,0,2016.4.21
15:30:00,0,2016.4.21
15:45:00,0,2016.4.21
16:00:00,273,2016.4.21
16:15:00,0,2016.4.21
16:30:00,0,2016.4.21
16:45:00,0,2016.4.21
17:00:00,76,2016.4.21
17:15:00,616,2016.4.21
17:30:00,17,2016.4.21
17:45:00,1254,2016.4.21
18:00:00,501,2016.4.21
18:15:00,12,2016.4.21
18:30:00,0,2016.4.21
18:45:00,0,2016.4.21
19:00:00,771,2016.4.21
19:15:00,1385,2016.4.21
19:30:00,12,2016.4.21
19:45:00,0,2016.4.21
20:00:00,0,2016.4.21
20:15:00,0,2016.4.21
20:30:00,0,2016.4.21
20:45:00,0,2016.4.21
21:00:00,0,2016.4.21
21:15:00,0,2016.4.21
21:30:00,0,2016.4.21
21:45:00,0,2016.4.21
22:00:00,0,2016.4.21
22:15:00,0,2016.4.21
22:30:00,0,2016.4.21
22:45:00,0,2016.4.21
23:00:00,0,2016.4.21
23:15:00,0,2016.4.21
23:30:00,11,2016.4.21
23:45:00,0,2016.4.21
