관리번호,공원명,공원구분,소재지지번주소,소재지도로명주소,위도(WGS84좌표),경도(WGS84좌표),공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,연락처,데이터기준일자
30110-00003,안터공원,어린이공원,대전광역시 동구 자양동 87-3,대전광역시 동구 성동로 41,36.3394795,127.4524402,1322.3," 에어서핑, 노르딕머신+에어워킹, 트위스트, 워밍쇼울더, 바디싯업 ",조합놀이대,육각정자,경로당,,1968-03-05,대전광역시 동구청,042-251-4755,2014-10-31
30110-00004,동산공원,어린이공원,대전광역시 동구 홍도동 111-1,대전광역시 동구 옛신탄진로81번길 20,36.3474882,127.4207327,2120.4," 에어워킹, 에어서핑, 바디싯업 ",조합놀이대,"화장실,사각정자",경로당,,1971-04-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00005,홍도공원,어린이공원,대전광역시 동구 홍도동 142-4,,36.3444889,127.4221945,1500.1," 에어워킹, 트위스트+바디싯업, 마사지롤라, 에어서핑 ","조합놀이대,시소1,그네,흔들놀이2","화장실,파고라,사각정자",,,1971-04-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00006,진등공원,어린이공원,대전광역시 동구 용전동 177-12,대전광역시 동구 계족로437번길 32,36.3511238,127.4303148,1377.2," 노르딕머신, 마사지롤라, 트위스트, 에어서핑, 에어워킹, 워밍쇼울더 ","조합놀이대,그네,시소",파고라,경로당,,1971-04-20,대전광역시 동구청,042-251-4755,2014-10-31
30110-00007,매봉공원,어린이공원,대전광역시 동구 가양동 430-6,대전광역시 동구 가양로132번길 26,36.3481165,127.4425074,1645.3," 레그프레스, 워밍암, 트윈트위스트, 에어서핑, 마사지롤라, 에어워킹, 노르딕머신, 오리다리펴기+흔들코끼리, 캥거루허리돌리기+흔들코끼리, 사자스텝퍼+오리다리펴기 ","조합놀이대,흔들말,시소","화장실,음수대,파고라2",경로당,,1971-02-28,대전광역시 동구청,042-251-4755,2014-10-31
30110-00008,흥룡공원,어린이공원,대전광역시 동구 가양동 35-1,대전광역시 동구 비래서로42번길 51,36.3517514,127.4483024,1652.9," 스트레칭롤라, 트윈바디싯업, 워밍암, 체어웨이트, 트윈트위스트, 롤링웨이스트, 크로스컨트리 ",조합놀이대,사각정자,경로당,,1971-04-20,대전광역시 동구청,042-251-4755,2014-10-31
30110-00009,용전공원,어린이공원,대전광역시 동구 용전동 132-3,대전광역시 동구 계족로446번길 19,36.3514622,127.4339611,1396.4," 마사지롤라, 트위스트, 캥거루허리돌리기+흔들코끼리, 사자스텝퍼+오리다리펴기, 오리다리펴기+흔들코끼리, 에어워킹, 노르딕머신, 워밍쇼울더, 에어서핑, 레그프레스 ","조합놀이대,시소,흔들놀이2","파고라,음수대",경로당,,1971-04-20,대전광역시 동구청,042-251-4755,2014-10-31
30110-00010,성남공원,어린이공원,대전광역시 동구 성남동 495-1,대전광역시 동구 동서대로678번길 17,36.3478675,127.4368239,1564," 트윈바디싯업, 에어서핑, 노르딕머신, 사자스텝퍼+흔들코끼리, 캥거루허리돌리기+오리다리펴기, 흔들코끼리, 마사지롤라, 트윈트위스트, 워밍암, 에어워킹 ","조합놀이대,흔들놀이2","화장실,육각정자,파고라",경로당,,1971-04-20,대전광역시 동구청,042-251-4755,2014-10-31
30110-00012,가팔공원,어린이공원,대전광역시 동구 가양2동 652-4,,36.3442585,127.4498485,1688.2," 하늘걷기, 등허리지압기, 에어서핑2, 에어워킹, 트위스트 ",조합놀이대,"화장실,파고라",,,1971-08-04,대전광역시 동구청,042-251-4755,2014-10-31
30110-00013,무궁화공원,어린이공원,대전광역시 동구 자양동 111-5,,36.3329952,127.4512742,991.7," 온몸허리돌리기, 옆파도타기, 하늘걷기 ","조합놀이대,그네,시소",사각정자,,,1977-02-28,대전광역시 동구청,042-251-4755,2014-10-31
30110-00014,용운공원,근린공원,대전광역시 동구 용운동 389-2,대전광역시 동구 새울로68번길 23-23,36.3252535,127.4637016,12749.4," 롤링웨이스트, 터닝트위스트, 워밍암 ",,사각정자,,,1982-04-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00015,도리공원,어린이공원,대전광역시 동구 용운동 284-1 ,,36.3294386,127.4613598,1500," 트위스트, 에어워킹, 에어서핑 ",조합놀이대,파고라,,,1982-04-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00016,선암공원,어린이공원,대전광역시 동구 용운동 377-7,,36.3259691,127.4600669,1500.1," 마라톤운동, 옆파도타기, 온몸허리돌리기 ","조합놀이대,시소2,그네","화장실,육각정자,파고라",,,1982-04-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00017,판암공원,어린이공원,대전광역시 동구 판암1동 205,,36.3167643,127.4627608,2207.8," 크로스컨트리, 트윈바디싯업, 트윈트위스트, 스트레칭로라, 레그프레스, 롤링웨이스트, 워밍암 ",조합놀이대,육각정자,,,1986-08-27,대전광역시 동구청,042-251-4755,2014-10-31
30110-00018,판암공원,근린공원,대전광역시 동구 판암동 496-25,,36.319443,127.4548376,65000," 워밍암, 노르딕머신, 로우암머신, 스쿼드머신, 바디싯업, 마사지롤라, 사이클링, 에어워킹, 에어서핑, 트위스트 ",,"화장실,주차장,음수대,팔각정자,사각정자,파고라3",다기능노인종합복지관,,1986-09-22,대전광역시 동구청,042-251-4755,2014-10-31
30110-00021,낭월3호공원,어린이공원,대전광역시 동구 낭월동 362,,36.2819583,127.4662393,2498.8," 풀웨이트, 트윈트위스트, 워밍암, 크로스컨트리 ",조합놀이대,"파고라,음수대",,,1996-01-19,대전광역시 동구청,042-251-4755,2014-10-31
30110-00022,낭월4호공원,어린이공원,대전광역시 동구 낭월동 566,,36.2791727,127.4669375,1493.7," 트위스트, 에어워킹, 에어서핑 ","조합놀이대,전화놀이벤치,회전구체","파고라,음수대",,,1996-11-19,대전광역시 동구청,042-251-4755,2014-10-31
30110-00024,용수골공원,어린이공원,대전광역시 동구 용운동 659,,36.3333892,127.4561243,3424.7," 워밍쇼울더, 사이클링, 에어워킹, 마사지롤라, 트위스트 ","조합놀이대,시소,회전대","화장실,음수대",야외음악당,,2002-05-16,대전광역시 동구청,042-251-4755,2014-10-31
30110-00025,도시개발공원,어린이공원,대전광역시 동구 용운동 705,,36.3336338,127.4544249,3440.2, 해당없음 ,,파고라,,,2002-05-16,대전광역시 동구청,042-251-4755,2014-10-31
30110-00026,가오67호공원,근린공원,대전광역시 동구 가오동 284-1,,36.3052254,127.4601666,31388," 트윈트위스트, 롤링웨이스트, 레그스트레치, 워밍암 ",,팔각정자,,,2002-09-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00027,가오65호공원,근린공원,대전광역시 동구 가오동 558,,36.3060843,127.4592183,16302," 롤링웨이스트, 워밍암, 크로스컨트리, 풀웨이트 ",,육각정자,,,2002-11-18,대전광역시 동구청,042-251-4755,2014-10-31
30110-00028,가오66호공원,근린공원,대전광역시 동구 대성동 132,,36.3030877,127.4597389,28856," 자전거발전기, 근육풀기발전기, 허리돌리기발전기, 파도타기발전기 ",조합놀이대1,"화장실,파고라 2,관리사무소",연못,,2002-11-18,대전광역시 동구청,042-251-4755,2014-10-31
30110-00029,가오30호공원,어린이공원,대전광역시 동구 가오동 473,,36.3105792,127.4561259,1549, 해당없음 ,"조합놀이대,흔들놀이2","음수대,파고라",,,2002-11-18,대전광역시 동구청,042-251-4755,2014-10-31
30110-00030,가오31호공원,어린이공원,대전광역시 동구 가오동 587,,36.3073829,127.4552834,1601, 해당없음 ,,파고라2,,,2002-11-18,대전광역시 동구청,042-251-4755,2014-10-31
30110-00031,샘골공원,근린공원,대전광역시 동구 천동 527,,36.3154539,127.4472692,16433.5," 롤링웨이스트, 바디싯업, 체어풀, 스트레칭롤라, 체어웨이트, 워밍암  ",,육각정자,,,2003-01-06,대전광역시 동구청,042-251-4755,2014-10-31
30110-00032,삼성공원,근린공원,대전광역시 동구 삼성동 478,,36.341388,127.4228138,4491.6," 워밍암, 노르딕머신, 로우암머신, 스쿼드머신, 바디싯업, 마사지롤라, 사이클링, 에어워킹, 에어서핑, 트위스트 ",,"파고라,음수대",,,2003-09-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00033,낭월7호공원,어린이공원,대전광역시 동구 낭월동 492,,36.2786619,127.4650716,5287.9," 스트레칭롤라, 롤링웨이스트, 트윈트위스트, 풀웨이트, 크로스컨트리 ",조합놀이대,"파고라,음수대",,,2004-04-29,대전광역시 동구청,042-251-4755,2014-10-31
30110-00034,낭월8호공원,어린이공원,대전광역시 동구 낭월동 642,,36.2783811,127.4701435,2078," 크로스컨트리, 풀웨이트, 트위스트 ",조합놀이대,"파고라,음수대",,,2004-04-29,대전광역시 동구청,042-251-4755,2014-10-31
30110-00048,동광공원,어린이공원,대전광역시 동구 자양동 94-6,,36.3365188,127.4500117,1664.3," 트윈바디싯업, 스트레칭롤라, 롤링웨이스트, 트윈트위스트, 크로스컨트리, 체어웨이트 ",조합놀이대3,파고라,,,2007-11-14,대전광역시 동구청,042-251-4755,2014-10-31
30110-00057,구도공원,근린공원,대전광역시 동구 구도동 388,,36.2694682,127.4697528,39056.8," 워밍암, 체어풀, 롤링웨이스트 ",,"화장실,팔각정자 2",,,2009-01-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00058,옥토끼공원,어린이공원,대전광역시 동구 낭월동 810,,36.2754212,127.4664893,1501.5," 레그프레스, 워밍암, 스텝사이클, 롤링웨이스트, 체어풀 ","조합놀이대,흔들놀이2,회전놀이","화장실,파고라",,,2009-01-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00059,꽃그늘공원,소공원,대전광역시 동구 구도동 379,,36.2720183,127.4683712,1228.6, 해당없음 ,,,,,2009-01-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00060,팽나무공원,수변공원,대전광역시 동구 구도동 367,,36.270885,127.4715904,3102, 해당없음 ,,,,,2009-01-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00076,대청호자연공원,수변공원,대전광역시 동구 추동 328,,36.3727711,127.4743683,13360, 해당없음 ,,,,,2009-10-13,대전광역시 동구청,042-251-4755,2014-10-31
30110-00091,봉곡(주택재건축)공원,어린이공원,대전광역시 동구 용운동 297-1,대전광역시 동구 용운로 193,36.3285875,127.4637992,5423.2,"  에어워킹+노르딕머신, 트위스트+바디싯업, 워밍쇼울더+마사시롤러, 사이클+레그프레스, 로우잉머신+에어서핑 ","조합놀이대,그네,흔들놀이2",육각정자,,,2010-07-09,대전광역시 동구청,042-251-4755,2014-10-31
30110-00093,대별공원,수변공원,대전광역시 동구 대별동 산5-8,,36.2759945,127.4631298,33058," 마사지롤라, 트위스트, 캥거루허리돌리기+흔들코끼리, 사자스텝퍼+오리다리펴기, 오리다리펴기+흔들코끼리, 에어워킹, 노르딕머신, 워밍쇼울더, 에어서핑, 레그프레스 ",,,,,2011-03-11,대전광역시 동구청,042-251-4755,2014-10-31
,,,,,,,,,,,,,,,,
