steps,status,heart_beat
0,4,78.8107485605
0,1,65.0828313253
0,2,67.7397260274
0,3,69.1538461538
1,4,90.625
2,4,85.0
3,4,83.75
4,4,84.0877192982
5,4,85.4722222222
5,2,67.0
6,4,82.9420289855
6,1,69.0
6,2,61.0
7,4,86.1182795699
8,4,85.1081081081
9,4,83.7093023256
9,2,64.0
9,3,68.0
10,4,85.7118644068
11,4,85.6585365854
12,4,84.6829268293
12,2,73.0
13,4,86.6857142857
14,4,84.3095238095
15,4,88.1034482759
16,4,89.4705882353
16,2,87.0
17,4,85.5789473684
18,4,89.85
19,4,87.8571428571
19,3,69.0
20,4,90.5263157895
21,4,89.1
22,4,88.05
23,4,90.1666666667
24,4,87.0526315789
25,4,92.6666666667
26,4,87.8461538462
27,4,90.3333333333
28,4,88.6470588235
29,4,96.7777777778
30,4,92.6363636364
31,4,95.4666666667
32,4,93.3846153846
33,4,93.0555555556
34,4,96.8
35,4,93.2222222222
36,4,93.3333333333
37,4,93.0909090909
38,4,101.666666667
39,4,93.6666666667
40,4,94.125
41,4,93.7
42,4,96.5454545455
43,4,92.5
44,4,97.0
45,4,98.0833333333
46,4,91.5714285714
47,4,92.1428571429
48,4,96.2857142857
49,4,100.125
50,4,98.8333333333
51,4,94.8
52,4,93.4166666667
53,4,99.0
54,4,89.1818181818
55,4,97.6428571429
56,4,94.9230769231
57,4,99.4444444444
58,4,93.8
59,4,95.6363636364
60,4,92.0
61,4,94.0
62,4,92.8571428571
63,4,93.1428571429
64,4,97.3
65,4,94.0
66,4,100.833333333
67,4,101.181818182
68,4,92.6666666667
69,4,97.5714285714
70,4,103.5
71,4,96.0
72,4,99.1428571429
73,4,94.4
74,4,95.1666666667
75,4,96.3
76,4,98.4444444444
77,4,99.7692307692
78,4,103.5
79,4,100.142857143
80,4,97.6666666667
81,4,103.090909091
82,4,99.2307692308
83,4,101.857142857
84,4,105.444444444
85,4,103.909090909
86,4,98.2222222222
87,4,94.3333333333
88,4,98.1904761905
89,4,97.4615384615
90,4,100.454545455
91,4,104.411764706
92,4,101.294117647
93,4,102.769230769
94,4,97.7
95,4,106.333333333
96,4,104.4375
97,4,102.428571429
98,4,100.652173913
99,4,107.625
100,4,103.80952381
101,4,103.157894737
102,4,103.714285714
103,4,107.533333333
104,4,103.161290323
105,4,105.944444444
106,4,103.0
107,4,106.807692308
108,4,104.6
109,4,102.684210526
110,4,106.130434783
111,4,104.037037037
112,4,106.777777778
113,4,104.933333333
114,4,107.526315789
115,4,107.142857143
116,4,111.0
117,4,115.294117647
118,4,114.0
119,4,110.571428571
120,4,118.352941176
121,4,121.857142857
122,4,113.125
123,4,134.0
124,4,154.5
125,4,118.2
126,4,129.6
127,4,123.666666667
128,4,138.0
129,4,133.0
130,4,137.142857143
131,4,147.0
132,4,135.0
133,4,141.333333333
134,4,144.2
135,4,136.5
136,4,137.714285714
137,4,139.8
138,4,137.666666667
139,4,140.0
141,4,153.0
143,4,154.0
144,4,150.0
145,4,148.0
146,4,169.0
147,4,152.0
149,4,153.0
152,4,152.0
153,4,137.0
154,4,137.0
155,4,160.0
159,4,160.0
