steps,heart_beat
0,71.9404973357
1,83.0
3,89.0
4,92.0
5,96.0
6,86.7
7,89.4285714286
8,83.9444444444
9,85.0
10,73.3333333333
11,88.0909090909
12,84.0
13,92.5
14,92.8
15,91.0
16,89.0
17,88.4
18,99.5
20,95.0
21,85.5
22,96.0
23,71.0
24,95.0
25,92.0
27,94.6666666667
28,97.0
29,99.6666666667
30,93.0
31,100.0
32,83.0
33,103.0
34,82.0
35,96.6666666667
36,99.0
37,93.5
38,100.666666667
39,106.0
41,100.6
42,96.5
43,89.5
45,88.0
46,92.6666666667
47,100.666666667
49,121.0
50,93.5
51,101.0
52,103.0
53,109.333333333
56,107.5
57,105.0
60,100.0
63,104.0
64,104.0
66,106.0
67,110.0
68,109.0
70,113.5
71,122.0
72,109.333333333
73,113.666666667
74,109.5
75,107.0
76,111.25
77,98.0
78,100.0
80,117.5
81,102.0
82,102.0
84,100.0
86,117.0
87,114.0
88,113.0
90,101.0
91,112.666666667
92,112.0
93,132.0
94,109.333333333
96,105.0
97,112.0
98,103.0
99,110.0
101,138.666666667
102,106.2
103,108.5
108,125.0
111,110.0
112,110.0
113,110.0
114,119.0
115,101.0
116,114.0
117,128.0
118,114.666666667
120,137.0
132,125.0
